,-10,-3,-1,0
20,-0.0772994145271699,-0.013624828711562429,-0.0058519850599,0.0457792976088577
13,-0.01,-0.005970000000000001,-0.001,-0.05857423301415429
6,-0.01,0.0,-0.001,0.0
8,-0.01,0.0,-0.001,-0.01
1,-0.01,-0.0030000000000000005,0.0,0.0
-6,-0.01,0.0,0.0,-0.01
-3,-0.01,0.0,0.0,0.0
-10,-0.01,-0.0030000000000000005,-0.001,0.0
-17,-0.01,0.0,-0.001,0.0
-15,-0.01,0.0,0.0,0.0
-22,-0.01,-0.0030000000000000005,0.0,0.0
-29,0.0,0.0,-0.001,0.0
-27,-0.01,0.0,0.0,0.0
-34,-0.01,-0.0030000000000000005,0.0,0.0
-41,0.0,0.0,-0.001,0.0
-39,-0.01,0.0,0.0,0.0
-46,-0.01,-0.0030000000000000005,0.1,0.0
-53,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
22,0.0,0.0,0.09967000722991787,-0.0060070872223792005
25,-0.054973491499,-0.008954673591000002,0.19419653479069898,-0.0019051010942221676
18,-0.0199,-0.0030000000000000005,-0.009580420959737995,0.1
16,-0.01,-0.008919300000000002,0.09848858813116293,-0.006031927182000001
11,-0.01,-0.0030000000000000005,0.0,-0.01
14,-0.02971,0.27490732647542887,0.0,-0.08749323305050465
7,-0.01,-0.008919300000000002,-0.0029701,-0.0039900000000000005
0,-0.01,0.0,-0.001,0.0
2,-0.01,0.0,0.0,0.0
-5,-0.0199,-0.0030000000000000005,0.0,0.0
-12,0.08900000000000001,0.0,-0.00199,0.0
-8,0.0,0.0,-0.001,-0.001
23,-0.0394235119,-0.05103137554047168,-0.006567756127693162,0.18531841630554377
26,-0.07747223039088035,-0.00866420137878688,0.01026275111380206,0.12308628698432465
19,-0.01,-0.017582775179700007,-0.007762463047634935,-0.037653923124889334
12,-0.058573374679,0.0,-0.001,-0.002979181729
9,0.0,0.0,0.0,-0.012761299
5,-0.01,-0.017609479259700005,-0.0039671299,0.09703
-2,0.0,0.0,-0.001,0.0
-7,-0.01,-0.0030000000000000005,0.0,0.0
-14,0.0,0.0,-9.999999999999995e-05,0.0
-19,0.0,0.0,-0.001,0.0
-24,0.1,-0.0030000000000000005,0.0,-0.0030000000000000005
-21,0.0,0.0,0.0,0.0
21,-0.09414471680142754,-0.0030000000000000005,-0.0029701,-0.0023485753887077603
24,-0.10955178793792347,-0.013966016659843873,0.17058842903583984,-0.0039700000000000004
17,-0.029701,-0.023172746642413457,-0.011967435721303966,0.3740035130808218
10,-0.01,-0.0030000000000000005,-0.00490099501,0.0
3,0.0,0.1,0.0,-0.01
27,-0.01,-0.0030000000000000005,-0.009636428124683296,0.0
15,-0.01,-0.008919381729000002,0.0005406659067233822,-0.0021000000000000003
4,0.0,0.0,-0.001,0.0
-1,-0.01,-0.0030000000000000005,0.0,0.0
-13,-0.01,-0.0030000000000000005,0.0,0.0
-20,0.0,0.0,-0.001,0.0
-18,-0.01,0.0,0.0,0.0
-25,0.1,-0.0030000000000000005,0.0,0.0
28,0.15335478454969587,-0.009892520031096733,-0.013003692623192679,-0.011017781524293276
31,-0.20853267162474512,-0.0030000000000000005,0.08930901595244302,-0.0024347068974438003
29,-0.01,-0.005970000000000001,-0.0014684518013406127,0.10603515936203321
32,-0.0491412174771682,0.39173242471301073,-0.010570907224259907,0.1422799839055457
30,-0.1653797481708162,-0.0029843287724960715,0.004249426847849249,0.0
34,-0.0490099501,-0.0633300605716621,0.07554210479837022,-0.03691758678927224
36,-0.019909,-0.004179,-0.021884453124500193,0.195801
33,-0.018544951327960253,-0.005970000000000001,0.0039028860080000003,0.0
38,-0.04567314367889123,-0.015414875894992833,0.28831509051101867,-0.030360882011805933
40,-0.0199,0.0969,-0.0034276474481120408,-0.001
43,-0.01,0.09703,-0.004198185204301,-0.023330182126299927
41,-0.04543768049165572,-0.017742222219458103,-0.02331388883290574,-0.011893780595847602
45,0.056610776625863314,-0.01174329052683096,-0.001,-0.00199
48,-0.039484344781000005,0.08517967031484702,-0.10284393492532999,-0.10015414101574185
37,0.3392334330069724,-0.00650701369842312,0.0012052695491,-0.01
39,-0.04461117557971992,0.199,-0.0020882467900000005,-0.002127480855969431
35,0.011508638704586148,0.6727864726434155,0.11167318787218085,0.08008521523074716
46,-0.018109,-0.06154649259970701,-0.01703446553760931,-0.017063637876289835
44,-0.0091,-0.005970000000000001,-0.010485564530282019,-0.01974278503
49,0.1441154259234238,-0.015207094145658122,-0.007874076045809,-0.015910300000000002
51,-0.0774771450599807,-0.021569624809034984,-0.00490841695990002,-0.005970000000000001
50,-0.109926463591,-0.026121127943132743,-0.0060120488791,-0.008907995010000001
53,-0.029762927182,-0.0030000000000000005,-0.0059146250599,-0.10197010000000002
47,-0.0091,-0.0030000000000000005,0.09982041647203001,-0.003009000000000001
42,-0.05309358052033158,-0.017032276988551493,0.09093747796407972,-0.0022971901943010004
56,-0.026632802665641882,-0.0030000000000000005,-0.1,0.0
54,-0.1,-0.011865927900000003,-0.10197010000000002,-0.006910300000000001
55,-0.010027,-0.014765625030000005,-0.10197010000000002,-0.10882119700000001
52,-0.027420337300916982,-0.005997000000000001,-0.10200959965090002,-0.005996820000000002
57,0.0,0.0,-0.00199,-0.004950100000000001
60,-0.1285574527,-0.0030000000000000005,-0.001,0.0
58,0.0,0.0,-0.001,0.0
59,-0.019927,0.0,0.0,0.0
62,-0.1,0.0,0.0,-0.001
65,0.0,0.0,0.0,0.0
