,-3,-1,0
20,-0.16208646777039332,-0.27852603611163845,0.12232523099137703
22,-0.290603233083768,-0.23732246836328402,-0.19049619518237162
25,-0.4113466490091857,-0.09918392035457332,-0.07754188058201868
28,-0.42797935381124746,0.025856711347843064,0.04432032299886779
31,-0.28916715602891935,0.17631645382316427,0.1227210877617136
33,-0.1526618808075862,0.3161968248494594,0.1974861878190138
36,-0.09856937426801941,0.3952321351465115,0.3046659429986887
38,0.20156428248799216,0.47312990636669994,0.5511510927442356
40,0.03885152477436917,0.45402674625213557,0.6914901106857726
43,0.023249436805108797,0.5561157545798417,0.9279830662404018
45,-0.028281842128093135,0.7551821455038068,0.8716331315825707
48,-0.24249704318054774,1.0934455380393517,-3.3346338764994696
50,0.7043340550202944,-3.5903441033654744,-3.5452470329536196
52,-3.9344088543202784,-3.8987939812401295,-4.128137639963372
54,-4.2373227411376035,-4.238347827236861,-4.36200223409981
57,-4.824685763159774,-4.817299069802479,-4.9839740831477535
59,-5.266875036086458,-5.257727234342383,-5.385281080048385
terminal,0.0,0.0,0.0
23,-0.1377284698099148,-0.1804009760897244,0.15221876506967377
26,-0.09874066865030688,-0.07322917318622614,0.1946094274270158
34,-0.1348403722770014,0.25887358801524,0.22856485106791474
39,0.3038296179353978,0.5307705802508945,0.35114708594649946
41,0.32840733632972063,0.6336296206647336,0.7008205968853147
44,0.4650547725683563,0.8029379106429236,0.8755352650056518
46,0.48852139049529036,0.20877768096087007,1.1757147949129048
49,1.465341240223247,-3.4083337851107762,-3.59525241702938
51,-3.666288528859844,-3.6212034953683943,-3.9457372516082896
56,-4.702545235116635,-4.669546123217307,-4.788821585484801
58,-5.070744526231093,-5.049283576924789,-5.051351334463082
30,-0.34609048119017244,0.1729621281586087,-0.02833119271612275
32,0.016228785744125007,0.117708502310982,0.3287555136953584
37,-0.09031215315915807,0.3750579298749864,0.4034247137700328
42,0.19048595664652587,0.5699344879505506,0.653101176515465
47,0.6243049329112339,1.087661474564521,0.5703531125414744
29,-0.04825422963666022,0.02752655652004089,0.25040577800820146
35,0.10271184221456137,0.23641292186129562,0.4295619604935413
61,-5.753911110078458,-5.734964233680947,-5.824790166776749
63,-6.273499968220664,-6.248831076485843,-6.343884303381689
62,-5.962490042858601,-5.955521564999666,-6.214571597783038
55,-4.313401201740071,-4.36773416186814,-4.564578596670919
53,-3.9887684572385513,-3.947130594573488,-4.298412717455425
64,-6.560175027538309,-6.55054609558946,-6.543755172065524
65,-6.827585508016269,-6.813656608263146,-6.980082604887819
66,-7.243256342462791,-7.295205035368149,-7.25170774346978
67,-7.337274186411183,-7.330847573917103,-7.341151936486248
60,-5.531247746663573,-5.521596120146814,-5.603634651269679
69,-7.881479725405874,-7.883166014860036,-7.902261359406581
71,-8.013064993791323,-8.01307647959731,-8.007283870060432
68,-7.778900280886243,-7.774688019858625,-7.7812052228144415
70,-8.06402282179416,-8.040307250299557,-8.057034548092048
27,-0.0785177528891111,0.05687012040152894,-0.12959606468021415
74,-7.004378169820922,-6.980465453434649,-6.980804868633391
24,-0.4028800098870055,-0.1969730388933627,-0.19625198828446846
72,-7.854084371582376,-7.793155163774487,-7.8137834803946165
76,-4.907191311230932,-4.892434896941892,-4.893610316025176
73,-7.84217837169742,-7.632525182998276,-7.647573132712458
75,-6.0896500348624265,-6.069867176478761,-6.064967794081846
79,-0.7896153728662145,-0.8291401736920583,-0.7462715367535915
78,-2.5399372265944336,-2.585927492374385,-2.6028247338604307
77,-3.6492335122188417,-3.6515504559807983,-3.6209748812921885
81,-0.20098,-0.00199,-0.1
80,-0.5004028212206851,-0.584209664624528,-0.5691443689672346
83,0.0,0.0,0.0
82,0.0,0.0,0.0
