,-10,-3,-1,0
20,-0.13881679611006573,3.084516397152815,3.1692057445665656,3.415743922524989
13,-0.19027213177874144,0.020233668997682294,0.11618446622419985,1.054000356688071
6,0.0,-0.03139852372238507,-2.9723004783937745e-05,-0.06939477004212563
8,-0.03940399,0.1161689285181881,0.021467016595377163,-0.009701836484428083
10,0.0294902556293625,0.15085011796149145,0.5026836001732927,-0.07598774483300937
12,0.048186317508601424,0.09046005724286661,0.6876041986460214,-0.020357344306320153
5,0.0,-0.010920839452957458,0.1948588362358674,-0.0020334796433363073
7,-0.11960921139120402,0.09703,0.2683948307070509,0.003376036704265653
3,-0.01,0.0,0.0014589055475624697,-0.020791
9,-0.0490099501,0.08106937272662962,0.26788907712260857,0.37780365243525404
11,-0.0199,-0.04786192915152744,0.07233648258272769,0.6362506282415579
4,0.0,0.0,-0.00490099501,-0.008357813182443285
terminal,0.0,0.0,0.0,0.0
15,0.12802092273381319,-0.019525696688186437,0.23610282272649008,0.6963914232999965
18,-0.1941683266563946,0.1782466223465622,3.176321674042088,1.8526494280566945
16,-0.48972656688348437,0.40060648109608227,2.369797914975781,2.0421202492522803
14,0.4511877406607114,0.07921520887038366,1.2075218517671769,0.3884966773297261
22,-0.31728167910932636,1.2919328142733175,3.5492644721747375,3.603926902971438
25,1.1167511505069636,2.2601741645744067,4.189215414156606,3.932615601512509
23,1.0367881502999101,3.428144141766502,3.725606278123264,3.7933071899101756
21,-0.15628807997896643,0.9826463808642615,3.5375435403003874,2.3303453502403206
19,-0.2973145685764223,1.4543235526391118,3.2591664729862897,2.234619768989129
0,0.0,0.0,-0.010466174574128356,0.199
2,0.0,-0.005970000000000001,-0.00199,-0.032758320107782755
27,1.1683080084246757,1.3655906877932857,4.337608841887703,4.501303278969317
30,1.5100771604943513,3.347323631391083,5.06306857492484,4.483984752763406
26,2.0035050462803374,3.804950854461117,4.175672515015571,4.2147228256987255
28,1.8342130982104723,3.152998981507818,4.534266106154505,4.4933551127249585
33,2.9182915990238776,4.902553633250773,5.385941716416258,5.201266908282207
35,3.5665112355172406,5.217471433274599,5.71820825903912,6.367624637295218
17,-0.383899663509648,0.7694335679451192,1.316721445203839,0.774281181489375
24,-0.13999349442667733,1.0889211819352904,3.9425003029537615,3.796150224751706
29,2.232598609396684,4.298385637654062,4.682369356366275,4.544599037629082
31,2.1420905478234786,4.348201221687965,4.955713203863524,4.972549844086205
34,3.2979500377485755,5.281743555965288,5.531667304175232,5.79100174069694
32,2.926327540049944,4.831477852548589,5.048997206441114,5.085759315858876
37,3.8856987354022254,5.6703077000383,5.696122555312365,6.579729286836886
36,4.1057179666740025,5.778286120306164,5.711346355872544,6.0886835182968175
38,4.141919537410869,5.946283606370731,6.683384512053146,5.353185654656883
39,4.508027186356969,5.978012566336951,6.236798719019836,6.650108666120236
41,4.522199730540815,5.4538032243926216,5.703489525846742,6.268349892202313
42,4.647767556071844,8.289150450153373,6.0374288538468575,5.156124100562636
40,3.927307706053371,6.064585588731475,7.483998493620727,5.4315299231791245
45,4.977984525193633,5.754853676857066,6.776928399686178,5.4468424250093035
43,4.896997746848761,5.478314103285515,6.281377815737694,6.053632442677612
48,5.745393298812738,5.794970594153877,5.4898362088977,3.9409966800589538
50,4.778630490431486,5.788375085797756,4.937521632132941,4.4835486550513215
44,4.911950083802138,5.793693834504778,6.116834239040348,7.257783832658306
46,5.204137473680198,6.114317093234776,5.5582411711929955,6.883997640298234
49,6.597124831387056,6.30827740708622,4.02006589416938,6.317525806196858
47,7.4252266468195725,6.6207579152489195,5.888752304600164,5.26983395622861
51,4.895884265628079,3.4064080588404106,3.754621315851,3.7133279666587877
52,4.200518069585846,4.136952516739345,4.070965058840427,4.250129055334563
55,5.14441655192796,0.5708693547841066,1.9987509359828888,0.059906652487761405
57,4.722481530713244,0.5228375807304798,0.035674211748399166,-0.0057217354043577725
54,4.308154785146314,1.5327030955692877,2.606551864743319,3.808320722732788
56,5.112068082746808,0.1699862509703497,-0.08979072368848053,-0.06197037793986759
53,5.183856221158905,2.81177524158238,2.3549139721202694,3.4807343653150378
58,0.7558926744045583,-0.10495108975558676,-0.10253582943841538,-0.11289357289
60,0.3344332006870896,-0.1011304009495037,-0.19801000000000002,0.0
59,0.9154786671272661,-0.09863342249422075,-0.007248998771968511,-0.10259858993408602
61,-0.12940058047259345,-0.11876897234056548,-0.10197010000000002,-0.10200000000000001
63,0.0,0.0,0.0,0.0
62,0.03470078510155526,0.0,-0.001,-0.0039900000000000005
65,-0.019953463591,-0.1,0.0,0.0
64,0.018818485079666648,-0.0030000000000000005,-0.1,0.0
1,0.0,-0.0030000000000000005,-0.001,-0.029701
-4,0.0,0.0,0.0,-0.01
-1,0.0,0.0,0.0,-0.01
