,-10,-3,-1,0
20,-0.05856431239900001,-0.02835923136972421,-0.017689898462807777,0.03568725794733361
13,-0.01,-0.008910300000000003,-0.00199,-0.03949343245288503
6,-0.0199,0.0,-0.001,0.0
8,-0.01,0.1,-0.0002970099999999999,0.0
1,-0.0199,-0.0030000000000000005,0.0,-0.001
-6,-0.01,-0.0030000000000000005,-0.001,0.0
-13,0.0,0.0,-0.001,0.0
-11,-0.01,0.0,-0.001,0.0
-18,-0.01,-0.0030000000000000005,0.0,0.0
-25,0.0,0.0,-0.001,0.0
-23,-0.01,0.0,0.0,0.0
-30,-0.01,-0.0030000000000000005,0.0,0.0
-37,0.0,0.0,-0.001,0.0
-35,-0.01,0.0,0.0,0.0
-42,-0.01,-0.0030000000000000005,0.0,0.0
-49,0.0,0.0,-0.001,0.0
-47,-0.01,0.1,0.0,0.0
-54,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
15,-0.01,-0.008928210000000002,-0.00199,-0.00402597484419711
18,-0.029701,-0.017609151121410004,-0.005573732919121195,-0.007949675271952485
11,-0.01,-0.005970000000000001,-0.0010090000000000001,-0.01
4,0.0,0.0,-0.00199,0.0
-1,-0.01,-0.005970000000000001,-0.001,0.09703
-8,-0.01,0.0,0.0,0.0
-15,-0.0199,-0.0030000000000000005,0.0,0.0
-22,-0.01,0.1,-0.001,0.0
-29,0.0,-0.0030000000000000005,-0.001,0.0
-27,-0.01,0.0,0.0,0.0
-34,-0.01,-0.0030000000000000005,0.0,0.0
-41,0.0,0.0,-0.001,0.0
-39,-0.01,0.1,0.0,0.0
-46,0.0,0.0,0.0,0.0
22,-0.02971891,-0.0030000000000000005,-0.011883830147996741,-0.016584222019351298
25,-0.039439631629,-0.07865897539969086,0.19822278160096746,-0.015992638443127195
16,-0.01,-0.011919359155748196,-0.0069741875807252,-0.0069906497354131555
14,-0.01,-0.0030000000000000005,-0.00204397138,0.0
9,-0.01,0.0,0.0,0.0
2,-0.01,-0.0030000000000000005,0.0,0.0
-5,0.0,0.0,-0.001,0.0
-3,-0.01,0.0,0.0,0.0
-10,-0.01,-0.0030000000000000005,0.0,0.0
-17,0.0,0.0,-0.001,0.0
-20,0.0,0.0,0.0,0.0
23,-0.049125490310838196,0.1871632145218602,-0.015932828395703456,-0.024121647843281198
