,-10,-3,-1,0
20,-0.07766096616518897,-0.047255699303895705,-0.045945449884803126,-0.04717847952117022
23,-0.049273082767446866,-0.009017222700000002,-0.0022847452655363745,-0.004877492232126074
8,-0.029701,-0.03408453848516122,-0.020141404581773215,-0.01775986584003174
1,0.0,-0.011821197000000004,-0.031055091413092206,-2.4148816998434843
-5,0.0,0.0,-0.980199002,-15.770187709051413
-4,0.0,-0.7880798,-4.905614255927346,-15.054658634427462
-9,0.0,0.0,0.0,-13.022621110545918
-7,0.0,0.0,0.0,-15.313721327220431
-10,0.0,0.0,0.0,-13.668519028513066
-14,0.0,0.0,0.0,-8.140671071970006
-19,0.0,0.0,0.0,-1.729655050327182
-17,0.0,0.0,0.0,-1.17039701198
-12,0.0,0.0,0.0,-12.204912933094885
-13,0.0,0.0,0.0,-10.2007550825344
-11,0.0,0.0,0.0,-9.9641102548228
-16,0.0,0.0,0.0,-1.91235849982391
terminal,0.0,0.0,0.0,0.0
13,-0.1582380943011523,-0.014881194030000005,-0.0029878309000000002,-0.022482847971257783
5,-0.01,-0.025944825754907735,-0.028303437416978893,-0.3589849965065035
-2,0.0,-2.4495795400206406,-3.967388209219081,-16.16319829556539
-8,0.0,0.0,0.0,-13.901983317361136
-6,0.0,0.0,-0.2,-13.74208726846693
-21,0.0,0.0,0.0,-0.398
-15,0.0,0.0,0.0,-4.672267848107601
-18,0.0,0.0,0.0,-0.398
14,-0.2222601763881013,-0.015062094030042005,0.0,-0.016596547037753113
17,-0.22269961709825037,-0.0425581457109478,-0.022697019111322922,-0.02602996266117196
11,-0.0490099501,-0.014802213384300005,-0.014410433485478494,-0.02953972596241128
3,0.0,-0.025944825754907735,-0.024528071279636732,-1.176037598184969
18,-0.03956316975826182,-0.02060498026300173,-0.06091796210540644,-0.014275370668180822
6,-0.0199,-0.014792985030000004,-0.02714007434691787,-0.0049303
-1,0.0,-2.9708445781024877,-2.6250837446204343,-5.684479077272907
-3,0.0,-0.2,-4.443572812017066,-14.43496370079035
4,0.0,-0.03139852372238507,-0.030507288761855572,-0.02290506453587115
16,-0.21452623099443474,-0.0030000000000000005,-0.007003971720316396,-0.013938077375003086
0,0.0,-0.03674369310030961,-0.018209306240276914,-5.713850704324327
15,-0.049318458505410875,-0.005970000000000001,-0.020675115762166338,-0.008025808681586232
22,-0.010133112807460001,-0.014702985030000004,-0.022516560644208223,-0.022648281545958236
10,-0.0199,-0.020445911405248582,-0.00885609106227512,-0.15549069718187233
7,-0.03940399,-0.014790311940000002,-0.023534480581152113,-0.05634133359477348
19,0.0,0.0,-0.01704552044408113,-0.012247897700103202
2,0.0,-0.020380395627903003,-0.04246452500230714,-0.7688483326745086
12,0.0,-0.003121913031686169,-0.008111537671610554,-0.01253540087650249
9,-0.01,-0.07359861839694676,-0.008366574300573784,-0.03809134272422002
21,0.0,0.0,0.0,-0.0002475966354369769
