,-10,-3,-1,0
20,-0.0490099501,-0.005852658629003966,-0.003156374095674286,0.03539170919608554
13,-0.0199,-0.0030000000000000005,0.0,-0.0394575418
6,-0.01,0.0,-0.00199,0.0
8,-0.0199,0.0,0.0,0.0
1,-0.01,-0.005970000000000001,-0.001,0.0
-6,-0.01,0.0,-0.001,0.0
-4,-0.01,0.0,0.0,0.0
-11,-0.01,-0.0030000000000000005,0.0,0.0
-18,-0.01,0.0,-0.001,0.0
-16,-0.01,0.0,0.0,0.0
-23,-0.01,-0.0030000000000000005,0.0,0.0
-30,0.0,0.0,-0.001,0.0
-28,-0.01,-0.0030000000000000005,0.0,0.0
-35,0.0,0.0,-0.001,0.0
-33,-0.01,0.0,0.0,0.0
-40,-0.01,-0.0030000000000000005,0.0,0.0
-47,0.1,0.0,-0.001,0.0
-45,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
22,0.0901,-0.0030000000000000005,-0.005080425422224583,-0.017897776624507363
25,-0.0623401365483856,-0.0030000000000000005,-0.001170251489345056,-0.0021074269872267165
18,-0.01,-0.015511487842713003,-0.005082939555489372,0.1822384188604
11,-0.01,0.0,-0.001,0.0
3,0.0,0.0,0.0,-0.001
-1,-0.01,-0.0030000000000000005,0.0,0.0
-8,0.0,0.0,-0.001,0.0
-13,-0.01,-0.0030000000000000005,0.0,0.0
-20,0.0,0.0,-0.001,0.0
-25,0.1,0.0,-0.001,0.0
23,-0.029728,-0.01659928414517962,-0.0029701,0.08460350933734918
26,-0.08396705124305191,-0.021363475909182986,0.18037154246199874,0.02366765533889517
19,-0.0199,-0.010991863074539103,0.09011546448269199,-0.030518899283198432
12,-0.0199,0.0,-0.00199,0.0
14,-0.01,-0.008919300000000002,-0.0020167309000000003,-0.0030000000000000005
7,-0.01,-0.0030000000000000005,0.0,0.0
0,-0.029701,0.0,-0.001,0.0
2,-0.01,0.0,0.0,0.0
-5,-0.01,-0.0030000000000000005,-0.001,0.0
-12,0.0,0.0,-0.001,0.0
-10,-0.01,0.0,0.0,0.0
-17,-0.01,-0.0030000000000000005,0.0,0.0
-24,0.0,0.0,-0.001,0.0
-22,-0.01,0.0,0.0,0.0
-29,-0.01,-0.0030000000000000005,0.0,0.0
-36,0.0,0.0,-0.001,0.0
-34,-0.01,0.1,0.0,0.0
-41,0.0,0.0,0.0,0.0
16,-0.01,-0.0030000000000000005,-0.0032444586099999997,-0.0200596760745391
24,-0.06796175408056412,-0.028244904751995835,0.08883782073278962,-0.006324296520424709
17,-0.0199,-0.0030000000000000005,-0.0016779592283433177,-0.019346052029305314
10,0.0,0.0,-0.00199,0.0
5,-0.01,-0.005970000000000001,0.1,0.0
-2,0.0,0.0,-0.001,0.0
-7,-0.01,-0.008910300000000003,0.09901,-0.0030000000000000005
-14,0.1,0.0,-0.001,0.0
21,-0.019909,0.1,-0.004102902304664297,-0.01065348001270015
9,0.0,0.0,-0.001,0.0
4,-0.01,-0.0030000000000000005,0.0,0.0
