,-10,-3,-1,0
20,-0.0490099501,-0.011821197000000004,-0.00490099501,0.0
14,0.0,-0.0030000000000000005,0.0,0.0
11,-0.0199,-0.0030000000000000005,-0.001,0.0
5,0.0,-0.0030000000000000005,-0.001,0.0
6,-0.029701,0.0,-0.001,-0.0009509900498999999
2,0.0,-0.0030000000000000005,-0.001,-0.199
1,0.0,-0.005970000000000001,-0.001,0.09901
-1,0.0,-0.2,0.0,-0.7880798
9,0.0,0.0,-0.00199,0.0
13,0.0,-0.005970000000000001,0.0,0.0
12,-0.01,-0.0030000000000000005,0.0,0.0
0,0.0,0.0,-0.001,0.0
terminal,0.0,0.0,0.0,0.0
7,-0.01,0.0,0.0,-0.00010674269099999999
4,0.0,0.0,0.0,-0.2
-8,0.0,0.0,-0.2,-0.59402
-9,0.0,0.0,0.0,-0.2
-11,0.0,0.0,0.0,-0.398
3,-0.029701,0.0,0.0,-0.19910891
-12,0.0,0.0,0.0,-0.398
-5,0.0,-0.2,0.0,-1.17039701198
-2,0.0,0.0,0.0,-0.398
-14,0.0,0.0,0.0,-0.2
-13,0.0,0.0,0.0,-0.29702
10,-0.01,-0.0030000000000000005,-0.001,-0.0009605960099999999
-10,0.0,-0.2,0.0,-1.3586930418602
-15,0.0,0.0,0.0,-0.7880798
-22,0.0,-1.17039701198,0.0,-0.59402
-23,0.0,0.0,0.0,-0.398
-25,0.0,0.0,0.0,-0.2
-26,0.0,0.0,0.0,-0.59402
-19,0.0,0.0,0.0,-0.2
-16,0.0,0.0,0.0,-0.398
-28,0.0,0.0,0.0,-0.980199002
-27,0.0,0.0,0.0,-0.09800000000000002
-20,-0.398,-0.398,0.0,-6.348908099792255
-35,0.0,0.0,0.0,-0.59402
-36,0.0,0.0,0.0,-0.7880798
-38,0.0,0.0,0.0,-0.7880798
-24,0.0,0.0,0.0,-0.2
-39,0.0,0.0,0.0,-0.59402
-32,0.0,0.0,0.0,-0.7880798
-29,0.0,0.0,0.0,-0.398
-41,0.0,0.0,0.0,-0.398
-40,0.0,0.0,0.0,-0.29702
-33,0.0,-0.2,0.0,-1.729655050327182
-44,0.0,0.0,0.0,-1.91235849982391
-51,0.0,0.0,0.0,-0.59402
-52,0.0,0.0,0.0,-0.398
-54,0.0,0.0,0.0,-0.398
-42,0.0,0.0,0.0,-0.2
-55,0.0,0.0,0.0,-0.59402
-48,0.0,0.0,0.0,-0.2
-45,0.0,0.0,0.0,-0.398
-57,0.0,0.0,0.0,-3.641861248055383
-56,0.0,0.0,0.0,-0.09800000000000002
-43,0.0,-0.398,0.0,-0.398
-64,0.0,0.0,0.0,-0.7880798
-65,0.0,0.0,0.0,-0.398
-67,0.0,0.0,0.0,-0.7880798
-53,0.0,-0.2,0.0,-0.2
-68,0.0,0.0,0.0,-0.59402
-61,0.0,0.0,0.0,-0.2
-58,0.0,0.0,0.0,-0.398
-70,0.0,0.0,0.0,-0.980199002
-69,0.0,0.0,0.0,-0.09800000000000002
