,-3,-1,0
20,-0.01772277909551013,-0.013308588931445093,-0.009742968979820315
22,-0.0030000000000000005,-0.006895921194622297,-0.007059189200269268
25,-0.03720862857602783,-0.00956179249911955,-0.012275063048716658
27,0.0,-0.008303847457773204,-0.006459697781518525
30,-0.1037815772389394,-0.028922555043102184,-0.028520716862637453
32,-0.026469168767253366,-0.023765728565289627,-0.022373704834566518
35,-0.09823591336610953,-0.03350320038022,-0.03445255414172565
37,-0.05184421047872198,-0.02894467727277077,-0.02907554813347023
40,-0.07944265130117838,-0.031139980669879434,-0.0334702024489946
43,-0.011982011997,-0.033682080553745754,-0.01472398104107137
45,-0.08189283730619389,-0.028756335312668503,-0.0305479844727379
48,-0.023501672746201963,-0.027674094402860984,-0.024765468117975288
50,-0.04900987864548104,-0.023120760911851883,-0.037821336898546214
53,-0.24132187420136594,-0.21267788661874698,-0.21326468919989858
55,-0.21625194656925956,-0.21495062951645086,-0.1348549533092112
58,-0.5527852786089633,-0.5041085449128649,-0.48727371134786773
terminal,0.0,0.0,0.0
23,-0.008991003000000001,-0.007077346527418919,-0.016238487775279663
26,-0.1578639200253063,-0.05163496030382837,-0.048359774726001364
28,-0.02093710489506298,-0.03600067477220249,-0.03138288451674499
31,-0.10160721132720338,-0.028122849910540718,-0.03066051410434163
33,-0.0030000000000000005,-0.03686675044195114,-0.008156357378406746
36,-0.07605033031908226,-0.02154002402725111,-0.021293631372821975
38,-0.011982011997,-0.02887707016749763,-0.014918389770139156
41,-0.11854904812320478,-0.02972788526514872,-0.03202124411635957
46,-0.08399008866868103,-0.026974089618094624,-0.027312150953827642
51,-0.1115739425297905,-0.0344303716631565,-0.033283460170117914
56,-0.3132660373215554,-0.2326056916758971,-0.4034523046663709
29,-0.017936929945093223,-0.019647712969976507,-0.022939175644846425
34,-0.005997000000000001,-0.0253510962287069,-0.01685710528536042
39,0.0,-0.03222428847729127,-0.009613941405690917
44,-0.014952083931021003,-0.025564839526219116,-0.014463452284086834
49,-0.08596584258024365,-0.028491971625756733,-0.03210514937951043
54,-0.15698117043829604,-0.12632884578789438,-0.1846868997440485
59,-0.3249311822797109,-0.29592876217057607,-0.31244041736523254
42,-0.03249644799251492,-0.02362862352313364,-0.02495442330285816
47,0.09406297000000001,-0.03030400201868512,-0.01831863082308939
52,-0.02087109121086519,-0.027321692601313473,-0.020451603084054817
57,-0.34040844558755035,-0.381430759698935,-0.32456543753599476
62,-0.4066200244099518,-0.390139681288007,-0.395678214156938
65,-0.0030000000000000005,-0.199,0.0
60,-0.39875624764712125,-0.4037690774195749,-0.40071901082178835
63,-0.20580708426409,-0.2960299,-0.20092119004990003
66,0.0,-0.001,0.0
64,-0.1,-0.001,0.0
61,-0.20092800000000002,-0.20555109060014215,-0.203910798
24,-0.0176584111650213,-0.00619709398304843,-0.005970000000000001
68,-0.0030000000000000005,-0.1,0.0
67,0.0,0.0,0.0
