,-3,-1,0
20,-0.011880244540498056,-0.00772553055720799,-0.006903987692457132
22,0.0,-0.00199,-0.006003225337843901
25,-0.020529693568596904,-0.00864827525163591,-0.006077406270000001
27,0.0,-0.00614256154417,-0.004656642266840281
29,-0.026416176802299636,-0.019858696868729674,-0.017555955179700003
31,-0.06400482342959574,-0.021432185919278108,-0.023388401912154667
33,0.0,-0.03803320511309471,-0.001
36,-0.026212188393149625,-0.014854222890512437,-0.021293545458887064
38,0.0,-0.027048680273714855,-0.0061248833354401394
41,-0.034640667596764096,-0.02403314499765252,-0.01857267469261415
43,-0.014970029985003002,-0.02313823209541573,-0.021825607966910254
46,-0.0990239769328689,-0.0267444153163568,-0.02995214417605664
48,-0.014943638572807328,-0.02685192557550489,-0.017274437793897528
50,-0.11851913136791628,-0.023361754621453863,-0.025793780943741434
53,-0.011982011997,-0.05122535118286582,-0.023490187780127778
terminal,0.0,0.0,0.0
23,-0.005997000000000001,-0.00506861413803281,-0.016319439698218186
26,-0.17834704861026046,-0.051896333486060514,-0.05132696811526227
28,-0.005997000000000001,-0.040002291869388716,-0.026963603860700184
34,-0.05209087329124155,-0.028036241116021238,-0.02946274917458612
44,-0.03561484916053404,-0.025479956354496187,-0.025294758536986192
49,0.08517967031484702,-0.02715545946809983,-0.022817322017313624
51,-0.08936467076794127,-0.11762680557924646,-0.050576770200708776
56,-0.6637099804859453,-0.6745214363476013,-0.6044213077843181
58,-0.199,-0.30119237132109516,-0.22679651930251982
61,-0.20671517098,-0.19996059601000002,-0.2063890151236426
39,-0.07051127364719781,-0.03287650845268407,-0.033389211560067925
45,-0.08623202233761063,-0.02764802381626398,-0.0299452776799549
47,-0.04904255942824774,-0.026003046001726617,-0.022653378841645287
52,-0.16388833150922,-0.1138771191075959,-0.13164110096309492
54,-0.0030000000000000005,-0.07348205648287472,-0.06677519299098725
59,-0.30094572964609,-0.20798488197865095,-0.23924542800963905
30,-0.10171325714097323,-0.02750196640421464,-0.028215544251311307
32,0.0,-0.0209566244467472,-0.030861108150135378
35,-0.13734726330934074,-0.037538660499159604,-0.040137004218757606
37,-0.01793690657853705,-0.0347070736521821,-0.02232329206807894
40,-0.10430377149111797,-0.02970780320270302,-0.03237751745355806
42,-0.01782710226785451,-0.027748829933328067,-0.025027059234599046
55,-0.2814819499396421,-0.21918640938860146,-0.22868156774453516
57,-0.4313741573739974,-0.3842345872821432,-0.42050830751924795
60,-0.31308136218286337,-0.39217381854649647,-0.4002956268562605
63,-0.10584030000000001,-0.19804591000000002,-0.10098010000000002
64,-0.20091891,-0.19897059601000003,-0.20091158605990003
62,-0.3154931392254646,-0.3043544581691333,-0.3920632646903468
66,0.0,0.0,0.0
67,-0.1,-0.00199,0.0
65,-0.1,-0.10098010000000002,-0.104900599
68,0.0,0.0,-0.001
69,-0.0030000000000000005,-0.1,0.0
24,-0.008910300000000003,-0.001182391252044616,-0.0030000000000000005
71,-0.0030000000000000005,-0.001,-0.1
73,0.0,0.0,0.0
