,-3,-1,0
20,-0.011942540510503778,-0.012354114402643461,-0.010354454602683675
22,-0.0030000000000000005,-0.004958212129672027,-0.008060291283956127
25,-0.02908656870245145,-0.010466174574128356,-0.01296393539362641
27,0.0,-0.01007398682411308,-0.004030225431140504
30,-0.03194675980847763,-0.016036509507360058,-0.017000969047887386
32,-0.04011107190346746,-0.04432303549110231,-0.0279743762666027
35,-0.0667673591119441,-0.02923108747860015,-0.028750218912049534
37,-0.1414217148723309,-0.05057569968355225,-0.053836090163035255
40,-0.14315100681353096,-0.05491571012262812,-0.05467984164162266
42,-0.08176975232681045,-0.03277993393658533,-0.04708926744295165
45,-0.153406746832718,-0.06045216918342482,-0.06204575738890505
47,-0.06497147820234513,-0.05249178035771295,-0.052014239509133815
50,-0.20301323432219467,-0.07264459441073659,-0.1439337097369971
52,-0.11691617014558418,-0.07963020566365397,-0.042608654276887245
54,-0.13599367477262905,-0.07183099349831842,-0.13820094972271166
57,-0.2990144445802492,-0.30574487958832536,-0.306812357764837
terminal,0.0,0.0,0.0
23,-0.020561118078530758,-0.011893394274162195,-0.014420978687551357
26,-0.04374643299426506,-0.07092297658551602,-0.03427916230178925
28,-0.020917574752915148,-0.017752816851887652,-0.08118139569565212
31,-0.10708206206486033,-0.06873723703063586,-0.05366337431398722
34,-0.005997000000000001,-0.021158331172709734,-0.0749898990849444
36,-0.191665237942631,-0.0608594219876088,-0.059749166034437175
39,-0.032835494011384615,-0.0526179509961512,-0.039970482435304426
41,-0.18253324451104108,-0.050073288711997996,-0.049367687352506635
43,-0.02093710489506298,-0.059438228549354544,-0.028724680019209616
46,-0.14699158024065212,0.04925800268618637,-0.04590659396511407
48,0.0,-0.06801764727564999,-0.02472916181120392
51,-0.06781733166379081,-0.035580402574186196,-0.04607097884025702
53,-0.10425134850705346,-0.06537880494256207,-0.02110266841048285
56,-0.22960514660047568,-0.17089648289950038,-0.14543386644916823
58,-0.40258216441292727,-0.37604726835801566,-0.44306526089638665
61,-0.9118762352952947,-0.852556573397876,-0.8308802772988461
33,-0.02689225162237775,-0.02674278670320219,-0.07719540549391449
38,-0.047641674553080014,-0.052614542771067356,-0.05071776438831633
55,-0.26854999629705173,-0.11230089312355841,-0.19907504427086434
60,-0.32325754731220024,-0.2907548023523833,-0.23946266162224628
29,-0.038391080941027035,-0.026508110680375698,-0.03942738199563821
44,0.21563620836583203,-0.04889953025892385,-0.04404072897352578
49,-0.0938759965312853,-0.049676467256261535,-0.04619982381046965
63,-0.6110056681727857,-0.6922758910881854,-0.663798504264369
59,-0.7266687789006879,-0.6432979639187013,-0.643541686499864
62,-0.5300306852038742,-0.5544274181800701,-0.595300059329153
64,-0.5186622089174989,-0.481957076116825,-0.4921568746013611
67,-0.20098891,-0.10384345849699,-0.19799049601000002
65,-0.7283091384515737,-0.7605199523029669,-0.7896914385263017
66,-0.4103393358111358,-0.48335897966113694,-0.39076289152213217
69,-0.10593703,-0.10196662501000002,-0.199
71,-0.1,-0.1,-0.0039700000000000004
68,-0.20774573900200002,-0.20002743281088617,-0.20391722300999998
70,-0.1,-0.003958309,-0.10197010000000002
24,-0.014776959200568547,-0.003470748055712858,-0.005970000000000001
72,-0.0030000000000000005,-0.10099000000000001,-0.1
74,-0.0030000000000000005,-0.1,0.0
73,-0.1,-0.001,0.0
75,0.0,0.0,0.0
