,-10,-3,-1,0
20,-0.19710950000000002,-0.10036619364399993,-0.03467774638742537,-0.008206011080316145
16,-0.19523795,-0.02985,0.19014950000000003,-0.05961294374441611
14,-0.0995,-0.015,-0.005,-0.05495
18,-0.146705,-0.029898138199242804,-0.029857306305259658,-0.1608008593776088
7,-0.05,-0.015,0.0,-0.05
15,0.2,-0.015045,-0.022853893840121927,-0.015
6,-0.09770000000000001,-0.0445515,-0.01489505,0.14800000000000002
8,0.14800000000000002,-0.02985,-0.005,-0.01993955
10,0.0,-0.028518,-0.005,-0.0995
9,-0.14314100000000002,-0.013200000000000002,-0.005,-0.21573974020691558
21,-0.148505,-0.04222598482747782,-0.038506903766139626,-0.08767743200767743
19,-0.14859410450000002,-0.059626322544054255,-0.04435843930159657,-0.017859911970344016
12,-0.28909673645,0.2,0.0,-0.050028800000000005
terminal,0.0,0.0,0.0,0.0
27,-0.4340576563696905,-0.10118492717087206,-0.024286368310706102,-0.0861965414630232
33,-0.47229520229735694,-0.07068213332422314,-0.165710024702679,1.5244379149172316
22,-0.05,-0.030104490341533247,-0.03285755864315624,-0.0103554107365013
29,0.1874519073896255,-0.13828299049010173,-0.013269195106655907,-0.06497316950818126
28,-0.3399876463791389,-0.10156406408666042,0.08282857794570148,-0.08473547543716267
23,-0.05,-0.09760472535848559,0.11010974897720023,-0.21132743528575673
11,-0.096386,0.0,-0.00995,0.0
2,-0.0995,-0.015,-0.018369995,0.0
4,0.0,0.0,-0.0063679999999999995,-0.005
-3,0.0,-0.3,0.0,-0.3
1,0.0,0.0,-0.005,0.0
26,-0.0995,-0.08547652503491818,-0.0499120447005518,0.11949183136535828
30,-0.0995,-0.0301927486266168,-0.07431825127629575,-0.11419513994496266
25,-0.05,-0.0282105895773461,0.14787550200736663,-0.2044496012566749
24,-0.1954494443310416,-0.04468515,-0.052246726583183654,-0.37056167152966707
5,0.59402,-0.0445515,-0.01494005,-0.02003955
17,-0.098168,-0.015,-0.010501222487566214,-0.055350682513870486
0,-0.05,-0.015,-0.005,-0.0031999999999999997
-8,-0.597,0.0,-0.597,0.0
-2,-0.3,-0.3,0.0,0.0
3,-0.05,-0.026268,0.0,0.0
-11,0.0,0.0,0.0,-0.3
-20,0.0,-0.597,0.2,0.0
-22,0.0,0.0,0.0,-0.3
-17,0.0,-0.597,0.0,0.0
-16,-0.3,0.2,0.0,-0.3
-18,0.0,0.0,0.0,0.0
34,-0.28656539626560024,-0.07968277256189411,-0.15678933997716965,0.0469928325775079
31,-0.24555865246500397,-0.09614505529339348,0.12341206049132446,-0.1656258729666847
41,-0.5570685601848299,-0.2188918670242158,0.2703391565066944,-0.33050478519214915
40,-0.29177996659258065,-0.2727296052149926,0.3878091576841035,-0.2003754461427153
38,-0.13883946367325622,-0.028220969415708293,0.03523313989586146,0.45091755580880427
42,-0.7419961503784747,-0.12978988116294124,-0.12618044801891917,-0.13301536446302772
36,0.6815035773463959,-0.12098647923833221,-0.05438043030941743,-0.03785842609286556
50,-0.19470682898597028,-0.0993240293861829,-0.07720163261804326,-0.8947862519218566
46,-0.1751940535893893,-0.10937939864251602,-0.1164686578876202,1.0252928104474537
43,-0.2913346260327402,-0.19170851146338513,1.2140202433180298,-0.18190456556085302
32,-0.14669933422838813,-0.03905101285126955,-0.03913107967113582,-0.12088741658976551
37,-0.7219229576681655,-0.08913745956108275,-0.014749600437207558,-0.26102586421532503
35,-0.19166395757858717,-0.08582249878647302,0.11960453437025122,-0.18585509514276616
39,-0.18553239715850536,-0.04470456539705167,-0.11436101624687958,0.13753826022385873
47,-0.4056501976187957,0.015178366377332483,-0.12394591432691944,-0.2293146243676136
44,-0.0913650612492743,-0.30122951745817533,-0.08814714875738895,-0.38150661787821216
48,-0.38733502248925633,-0.26147162851487826,-0.06102820692733933,-0.557447850028318
13,0.0,-0.029939550000000002,-0.00815,0.0
-5,0.0,0.0,-0.3,-0.3
-7,0.0,-0.3,0.0,0.0
-9,0.0,0.0,-0.3,0.0
-6,0.0,0.0,-0.3,-0.10199999999999998
45,-1.2343609120426409,-0.171044787543013,0.976517200609244,-0.12916812535052688
52,-1.0854633802825802,-1.091239225977615,-1.6633765134068215,-3.139852372238507
51,-1.4696789136690989,-0.7930391143147832,-1.9577539220450557,-1.1839452510757607
59,-0.4982623852151689,-0.3,-0.3,-0.3
55,-0.7812695530683145,-1.4756288953799999,-1.0823089818,-0.7910299999999999
53,-2.213774723089485,-0.60228735438,-1.4809463086457246,-0.30097999999999997
49,-0.283567225138547,-0.375165912678228,-0.2326460471710412,-1.7597820726871962
54,-1.7634404430193082,-1.1823093815695904,-0.09699999999999998,-0.889248
57,-0.30718473841797833,-0.3097691704225432,-0.3,-0.5996569620000001
56,0.0,-0.6014729999999999,-0.5952,-0.3
63,-0.300018,0.0,0.0,0.0
58,-0.2982,-0.7947572700000001,-0.3,-0.3
64,0.0,0.0,0.0,0.0
60,-1.7550675917166663,-0.3,-0.597,0.0
61,-0.5984809752500992,0.0,0.0,-0.3
-1,0.0,0.0,-0.296418,0.0
-15,0.0,0.0,-0.3,0.0
-12,-0.3,0.0,0.0,0.0
62,0.0,0.0,0.0,-0.3
