,-10,-3,-1,0
20,-0.0394307209,-0.028899464164510225,-0.014779935591891807,0.004370830501786721
23,-0.05861781516234436,-0.017433055196497235,0.008194031835407897,0.06101419379086732
16,-0.01,-0.005970000000000001,-0.008205332265154299,-0.0030000000000000005
9,-0.01,0.0,-0.001,0.0
11,-0.01,0.0,-0.00199,0.0
4,-0.01,-0.0030000000000000005,0.0,0.0
-3,0.0,0.0,-0.001,0.0
-1,-0.01,0.0,0.0,0.0
-8,-0.01,-0.0030000000000000005,0.0,0.0
-15,0.0,0.0,-0.001,0.0
-13,-0.01,0.0,0.0,0.0
-20,0.0,0.0,0.0,-0.01
-17,-0.01,0.0,0.0,0.0
-24,-0.01,-0.0030000000000000005,0.0,0.0
-31,0.0,0.0,-0.001,0.0
-29,-0.01,0.0,0.0,0.0
-36,-0.01,-0.0030000000000000005,0.0,0.0
-43,0.1,0.0,-0.001,0.0
-41,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
13,-0.01,-0.008910300000000003,-0.001,-0.0326744479
6,0.0,0.0,-0.001,0.0
8,-0.01,-0.0030000000000000005,-0.001,0.0
1,-0.01,-0.0030000000000000005,0.0,0.0
-6,0.0,-0.0030000000000000005,-0.001,0.0
-4,-0.01,0.0,0.0,0.0
-11,-0.01,-0.0030000000000000005,0.0,0.0
-18,0.0,0.0,-0.001,0.0
-16,-0.01,0.0,0.0,0.0
-23,-0.01,-0.0030000000000000005,0.0,0.0
-30,-0.01,0.0,0.0,0.0
-37,-0.01,-0.0030000000000000005,0.0,0.0
-44,0.0,0.0,-0.001,0.0
-42,-0.01,0.0,0.0,0.0
-49,-0.01,-0.0030000000000000005,0.1,0.0
-56,0.0,0.0,0.0,0.0
22,-0.019909,-0.0030000000000000005,-0.004173641096654543,0.10206329857033679
25,-0.09590827125447966,0.2740000519299762,-0.0028673523542708714,-0.01618609811410005
18,-0.0199,-0.020583989315189524,-0.008933324971037897,-0.026107267202925534
15,-0.01,-0.0030000000000000005,-0.001009081,-0.01106182742993718
21,-0.01,-0.011892294372000001,-0.009735039112778529,-0.005970000000000001
19,-0.01,-0.005970000000000001,-0.001,-0.076453884791053
14,0.1,-0.0030000000000000005,0.0,0.0
26,-0.09568745476621038,-0.013175744355782663,-0.012214825539175224,0.13399607497165575
28,-0.039475087372000006,-0.02733335916639028,0.2565922885252824,-0.02649229617477153
24,-0.04902802129,-0.005182205476287459,0.0114673123311661,0.28330413802230725
27,-0.0100003207681,-0.022091743720480495,0.2787772336106075,-0.016049867438367137
12,-0.019000000000000003,0.0,0.0,-0.01
10,0.0,0.0,-0.00199,0.0
5,-0.01,-0.005070000000000001,0.098,0.0
-2,0.0,0.0,0.0,0.0
30,-0.0394096183292393,-0.0030000000000000005,-0.00023671231740621853,0.04345805970331702
31,-0.32935558190725944,-0.017788635752056487,0.17965525338064184,-0.0024201182344712573
17,-0.01,-0.008910300000000003,-0.0010090000000000001,-0.024015046545146343
7,0.0,0.0,-0.001,0.0
2,-0.01,-0.0030000000000000005,0.1,0.0
-5,0.0,0.0,0.0,0.0
32,-0.023038299969934128,-0.015121222011494698,-0.0014961240789717546,0.4574839567884929
35,-0.07316064451923505,1.2533221134456436,0.021325718750021337,0.11315796495793957
33,-0.027126101799999996,-0.05934219789939247,0.3115445468986735,-0.0714249560187831
36,-0.029701,-0.01729560025446231,0.13984427200583022,-0.005011003000000001
29,-0.019883270539488386,-0.011319645670337587,-0.00694128164812398,0.12601394863518894
34,-0.03709894718743394,-0.008155560940941935,0.17054218046621403,-0.02403438399288542
38,0.057765242879703915,-0.020875996661859884,0.4579248999302037,-0.014131627221702164
41,0.20124008140502433,-0.03316984472536842,0.03642120083553434,-0.006005659484146209
39,-0.02973680209,-0.005997000000000001,-0.00855709540623738,-0.004743003723374296
37,-0.08173218798684172,-0.09298614686598547,-0.01952117846604807,0.23553514125715158
40,-0.17297924700840792,0.47152207975832616,0.1432169328131583,0.03640154737137076
43,-0.11628129876187544,0.0274270910035576,0.6476206886861217,-0.008316207030000002
42,-0.03208889665775729,0.026054858084235077,0.6194114492141574,-0.0052689039957405
44,-0.025360127391143586,0.002726550957671851,0.8355895166388714,0.07126766022135686
45,0.3172520805241455,-0.002192446834432117,0.07803876953821436,-0.0709525647422279
48,-0.13644483295078713,-0.08482629302916272,0.13580093481139394,-0.0338780847100757
47,-0.28342603476854195,-0.0058747008816655445,0.3402136394648234,-0.0039285094140279996
46,-0.010027,0.6825624665910449,-0.014343442678227911,-0.013061605523949853
49,-0.01752678683216858,-0.023697829920160778,-0.10747488552533717,-0.017319487444944097
51,-0.05482308217200002,-0.10262927870121298,-0.09531044668613384,0.0697990141552612
50,-0.008819531664480719,-0.0030000000000000005,-0.135896802237798,-0.09822299836591461
53,-0.03202090570463179,-0.008821494010000014,-0.001999,-0.007041516762592629
52,-0.08509164857792709,-0.2199121649492673,-0.19914035126843802,-0.20695680148886192
54,-0.11395974705607428,-0.008955021000000002,-0.10012445934319002,-0.018889239791080002
56,-0.0395524334099444,-0.019533491208903006,-0.10868057536917054,-0.1
55,-0.020062374787746612,-0.004069000000000003,-0.0011432728900000002,-0.006968010000000002
58,-0.10822291116341312,-0.0030000000000000005,-0.0029791,-0.0039900000000000005
61,-0.019935810999999998,0.0,-0.001,-0.1
57,-0.029692467044874233,0.09408079,-0.10197010000000002,-0.10198
59,0.0,0.0,-0.001,0.0
60,-0.009171104491,-0.0030000000000000005,-0.001,-0.00199
62,-0.0091,0.0,0.0,0.0
63,-0.010026811900000002,0.0,-0.001,-0.1
65,0.0,0.0,0.0,0.0
